Date,HomeTeam,AwayTeam,Result,Home Win,Draw,Away Win,Net,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA
18/08/12,Arsenal,Sunderland,D,,,,,1.4,4.5,8.5,1.35,4.6,9,1.35,4.6,9,1.35,4.5,7.3,1.4,4.5,8,1.44,4.76,8.78,1.44,4,8,1.36,4.5,9.5,1.44,4.75,8.5,1.4,4.33,8.5
18/08/12,Fulham,Norwich,H,,,,,1.8,3.6,4.5,1.8,3.5,4.4,1.8,3.5,4.4,1.8,3.4,4,1.8,3.5,4.5,1.82,3.81,4.8,1.85,3.3,4.5,1.8,3.6,4.5,1.83,3.75,4.75,1.83,3.5,4.33
18/08/12,Newcastle,Tottenham,H,,,,,2.5,3.4,2.75,2.6,3.3,2.75,2.6,3.3,2.75,2.4,3.2,2.7,2.6,3.3,2.7,2.65,3.47,2.82,2.7,3,2.8,2.5,3.4,2.8,2.62,3.4,2.75,2.5,3.4,2.7
18/08/12,QPR,Swansea,A,,,,,2,3.4,3.8,2,3.4,3.6,2,3.4,3.6,2.1,3.3,3.1,2,3.4,3.75,2.05,3.53,4.01,2,3.3,3.8,2.1,3.3,3.6,2,3.5,4,2,3.4,3.6
18/08/12,Reading,Stoke,D,,,,,2.38,3.25,3.1,2.4,3.2,3.1,2.4,3.2,3.1,2.4,3.2,2.7,2.4,3.3,2.88,2.4,3.37,3.26,2.4,3.3,2.9,2.4,3.2,3,2.4,3.3,3.25,2.3,3.3,3.1
18/08/12,West Brom,Liverpool,H,,,,,4.2,3.5,1.91,4.1,3.5,1.85,4.1,3.5,1.85,3.3,3.3,2,3.75,3.5,1.95,4.39,3.59,1.94,3.8,3.3,2,4,3.4,1.91,4.33,3.6,1.95,4,3.4,1.91
18/08/12,West Ham,Aston Villa,H,,,,,2.2,3.3,3.4,2.25,3.3,3.3,2.25,3.3,3.3,2.15,3.3,3,2.25,3.3,3.1,2.26,3.49,3.43,2.3,3.2,3.2,2.25,3.3,3.3,2.25,3.4,3.4,2.3,3.3,3.1
19/08/12,Man City,Southampton,H,,,,,1.17,7,17,1.18,6.25,16,1.18,6.25,16,1.17,5.8,13,1.17,7,15,1.2,7.5,19.75,1.2,6,15,1.17,7,19,1.2,7,19,1.17,6.5,17
19/08/12,Wigan,Chelsea,A,,,,,6,3.75,1.62,6,3.9,1.55,6,3.9,1.55,5.5,3.9,1.5,6.5,3.8,1.53,6.05,4.02,1.65,5.5,3.6,1.67,6.5,4,1.53,6.5,3.8,1.65,6,4,1.53
20/08/12,Everton,Man United,H,,,,,4.33,3.6,1.83,4.6,3.5,1.83,4.6,3.5,1.83,3.8,3.4,1.85,4,3.6,1.85,4.27,3.77,1.92,4.33,3.3,1.91,4,3.5,1.91,4.3,3.7,1.87,4,3.4,1.91
22/08/12,Chelsea,Reading,H,,,,,1.25,5.5,13,1.25,5.25,12.5,1.25,5.25,12.5,1.25,5,10,1.25,6,11,1.27,6.15,13.8,1.29,5.5,10,1.27,5.5,12,1.25,6,13,1.25,5.5,13
25/08/12,Aston Villa,Everton,A,,,,,2.9,3.4,2.4,2.95,3.3,2.45,2.95,3.3,2.45,2.5,3.2,2.6,2.75,3.3,2.5,3.14,3.36,2.47,2.88,3.2,2.5,2.88,3.25,2.5,3.1,3.3,2.45,2.75,3.3,2.5
25/08/12,Chelsea,Newcastle,H,,,,,1.5,4.33,6.5,1.5,4.33,6.5,1.5,4.33,6.5,1.53,3.8,5.5,1.5,4,6.5,1.51,4.5,7.27,1.5,4.2,6.5,1.5,4.33,6.5,1.5,4.4,7,1.5,4,6.5
25/08/12,Man United,Fulham,H,,,,,1.29,5.5,11,1.28,5.25,10,1.28,5.25,10,1.25,5,10,,,,1.32,5.6,11.85,1.35,4.8,9,1.3,5.25,11,1.3,5.5,11.5,1.3,5,10
25/08/12,Norwich,QPR,D,,,,,2.25,3.4,3.2,2.25,3.3,3.1,2.25,3.3,3.1,2.1,3.2,3.2,2.38,3.4,2.88,2.34,3.5,3.25,2.38,3.4,2.9,2.25,3.4,3.2,2.3,3.4,3.2,2.25,3.25,3.2
25/08/12,Southampton,Wigan,A,,,,,2.1,3.4,3.5,2.05,3.4,3.5,2.05,3.4,3.5,2.1,3.2,3.2,2.1,3.3,3.5,2.2,3.51,3.56,2.15,3.5,3.25,2.05,3.5,3.6,2.15,3.5,3.6,2.1,3.5,3.3
25/08/12,Swansea,West Ham,H,,,,,2.1,3.3,3.6,2,3.3,3.75,2,3.3,3.75,2.1,3.2,3.2,2.1,3.25,3.5,2.13,3.43,3.85,2.1,3.4,3.5,2.05,3.3,3.75,2.1,3.4,3.8,2.1,3.25,3.5
25/08/12,Tottenham,West Brom,D,,,,,1.5,4.33,6.5,1.45,4.2,7,1.45,4.2,7,1.45,3.9,6.5,1.5,4,6.5,1.51,4.52,7.35,1.55,4,6,1.5,4.33,6.5,1.5,4.4,7,1.53,4,6
