Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA
18/08/12,Arsenal,Sunderland,D,1.4,4.5,8.5,,,,
18/08/12,Fulham,Norwich,H,1.8,3.6,4.5,,,,
18/08/12,Newcastle,Tottenham,H,2.5,3.4,2.75,,,,
18/08/12,QPR,Swansea,A,2,3.4,3.8,,,,
18/08/12,Reading,Stoke,D,2.38,3.25,3.1,,,,
18/08/12,West Brom,Liverpool,H,4.2,3.5,1.91,,,,
18/08/12,West Ham,Aston Villa,H,2.2,3.3,3.4,,,,
19/08/12,Man City,Southampton,H,1.17,7,17,,,,
19/08/12,Wigan,Chelsea,A,6,3.75,1.62,,,,
20/08/12,Everton,Man United,H,4.33,3.6,1.83,,,,
22/08/12,Chelsea,Reading,H,1.25,5.5,13,,,,
25/08/12,Aston Villa,Everton,A,2.9,3.4,2.4,,,,
25/08/12,Chelsea,Newcastle,H,1.5,4.33,6.5,,,,
25/08/12,Man United,Fulham,H,1.29,5.5,11,,,,
25/08/12,Norwich,QPR,D,2.25,3.4,3.2,,,,
25/08/12,Southampton,Wigan,A,2.1,3.4,3.5,,,,
25/08/12,Swansea,West Ham,H,2.1,3.3,3.6,,,,
25/08/12,Tottenham,West Brom,D,1.5,4.33,6.5,,,,
26/08/12,Liverpool,Man City,D,3.1,3.4,2.3,,,,
26/08/12,Stoke,Arsenal,D,3.5,3.4,2.1,,,,
1/9/2012,Man City,QPR,H,1.18,7,15,,,,
1/9/2012,Swansea,Sunderland,D,2.2,3.3,3.4,,,,
1/9/2012,Tottenham,Norwich,D,1.36,5,8.5,,,,
1/9/2012,West Brom,Everton,H,3,3.3,2.38,,,,
1/9/2012,West Ham,Fulham,H,2.5,3.25,2.88,,,,
1/9/2012,Wigan,Stoke,D,2.25,3.25,3.3,,,,
2/9/2012,Liverpool,Arsenal,A,2,3.5,3.75,,,,
2/9/2012,Newcastle,Aston Villa,D,1.62,3.75,6,,,,
2/9/2012,Southampton,Man United,A,6,4.2,1.53,,,,
15/09/12,Arsenal,Southampton,H,1.36,5,8.5,,,,
15/09/12,Aston Villa,Swansea,H,2.38,3.25,3.1,,,,
15/09/12,Fulham,West Brom,H,2.1,3.4,3.5,,,,
15/09/12,Man United,Wigan,H,1.25,6,12,,,,
15/09/12,Norwich,West Ham,D,2.38,3.4,3,,,,
15/09/12,QPR,Chelsea,D,4.5,3.5,1.83,,,,
15/09/12,Stoke,Man City,D,5,3.6,1.73,,,,
