Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,B365H,B365D,B365A,FTR
18/08/12,Arsenal,Sunderland,average,average,1,1,0.0,0.0,0.0,0.0,1.4,4.5,8.5,D
18/08/12,Fulham,Norwich,average,average,2,2,0.0,0.0,0.0,0.0,1.8,3.6,4.5,H
18/08/12,Newcastle,Tottenham,average,average,3,3,0.0,0.0,0.0,0.0,2.5,3.4,2.75,H
18/08/12,QPR,Swansea,average,average,3,3,0.0,0.0,0.0,0.0,2,3.4,3.8,A
18/08/12,Reading,Stoke,average,average,3,3,0.0,0.0,0.0,0.0,2.38,3.25,3.1,D
18/08/12,West Brom,Liverpool,average,average,3,3,0.0,0.0,0.0,0.0,4.2,3.5,1.91,H
18/08/12,West Ham,Aston Villa,average,average,3,3,0.0,0.0,0.0,0.0,2.2,3.3,3.4,H
19/08/12,Man City,Southampton,average,average,3,3,0.0,0.0,0.0,0.0,1.17,7,17,H
19/08/12,Wigan,Chelsea,average,average,3,3,0.0,0.0,0.0,0.0,6,3.75,1.62,A
20/08/12,Everton,Man United,average,average,3,3,0.0,0.0,0.0,0.0,4.33,3.6,1.83,H
22/08/12,Chelsea,Reading,good,average,1,2,5.0,9.0,3.0,3.0,1.25,5.5,13,H
25/08/12,Aston Villa,Everton,poor,good,4,2,10.0,16.0,6.0,7.0,2.9,3.4,2.4,A
25/08/12,Chelsea,Newcastle,good,good,1,2,14.0,6.0,7.0,4.0,1.5,4.33,6.5,H
25/08/12,Man United,Fulham,poor,good,5,3,12.0,11.0,7.0,9.0,1.29,5.5,11,H
25/08/12,Norwich,QPR,poor,poor,5,5,4.0,20.0,2.0,11.0,2.25,3.4,3.2,D
25/08/12,Southampton,Wigan,poor,poor,5,5,9.0,12.0,6.0,4.0,2.1,3.4,3.5,A
25/08/12,Swansea,West Ham,good,good,3,3,12.0,8.0,8.0,4.0,2.1,3.3,3.6,H
25/08/12,Tottenham,West Brom,poor,good,5,3,12.0,15.0,6.0,10.0,1.5,4.33,6.5,D
26/08/12,Liverpool,Man City,poor,good,6,4,14.0,20.0,7.0,15.0,3.1,3.4,2.3,D
26/08/12,Stoke,Arsenal,average,average,5,5,6.0,14.0,3.0,4.0,3.5,3.4,2.1,D
1/9/2012,Man City,QPR,average,poor,3,6,15.5,13.0,10.0,7.5,1.18,7,15,H
1/9/2012,Swansea,Sunderland,good,average,3,7,11.0,3.0,7.5,2.0,2.2,3.3,3.4,D
1/9/2012,Tottenham,Norwich,poor,poor,7,7,15.0,8.5,8.0,3.0,1.36,5,8.5,D
1/9/2012,West Brom,Everton,average,good,4,3,12.5,17.5,7.5,9.0,3,3.3,2.38,H
1/9/2012,West Ham,Fulham,average,average,4,4,7.5,12.5,5.0,10.0,2.5,3.25,2.88,H
1/9/2012,Wigan,Stoke,average,average,4,5,12.0,6.5,6.0,3.5,2.25,3.25,3.3,D
2/9/2012,Liverpool,Arsenal,poor,average,7,6,14.5,15.0,7.5,5.0,2,3.5,3.75,A
2/9/2012,Newcastle,Aston Villa,average,poor,6,9,8.5,8.5,4.5,4.5,1.62,3.75,6,D
2/9/2012,Southampton,Man United,poor,average,9,6,11.5,16.0,7.5,9.0,6,4.2,1.53,A
15/09/12,Arsenal,Southampton,good,poor,4,9,13.67,12.67,5.67,7.67,1.36,5,8.5,H
15/09/12,Aston Villa,Swansea,poor,good,8,3,10.0,12.0,6.0,8.33,2.38,3.25,3.1,H
15/09/12,Fulham,West Brom,average,good,6,3,13.0,13.0,11.0,7.67,2.1,3.4,3.5,H
15/09/12,Man United,Wigan,good,average,4,5,16.67,11.0,9.0,5.67,1.25,6,12,H
15/09/12,Norwich,West Ham,average,good,7,4,9.0,10.67,3.33,7.33,2.38,3.4,3,D
15/09/12,QPR,Chelsea,poor,good,8,1,11.67,13.0,6.67,6.67,4.5,3.5,1.83,D
15/09/12,Stoke,Man City,average,good,7,4,9.67,16.67,5.0,10.67,5,3.6,1.73,D
15/09/12,Sunderland,Liverpool,average,poor,8,9,3.5,15.33,2.5,7.67,3.4,3.3,2.2,D
16/09/12,Reading,Tottenham,poor,average,9,8,8.0,15.0,4.0,8.33,3.75,3.5,2,A
17/09/12,Everton,Newcastle,good,average,5,7,15.67,11.0,7.67,5.0,1.73,3.6,5,D
22/09/12,Chelsea,Stoke,good,average,1,7,13.0,8.25,7.25,4.5,1.36,4.75,9,H
22/09/12,Southampton,Aston Villa,poor,average,11,7,11.75,11.75,6.75,7.75,2.4,3.3,3,H
22/09/12,Swansea,Everton,average,average,4,4,11.5,16.0,7.5,8.25,3,3.3,2.4,A
22/09/12,West Brom,Reading,average,poor,5,11,12.25,6.67,7.75,3.33,1.73,3.75,4.75,H
22/09/12,West Ham,Sunderland,average,average,5,9,10.25,4.33,6.5,3.0,2.1,3.3,3.6,D
22/09/12,Wigan,Fulham,average,average,8,6,10.25,15.5,5.25,11.75,2.4,3.3,3,A
23/09/12,Liverpool,Man United,average,good,9,3,16.5,16.75,8.0,9.25,2.7,3.3,2.63,A
23/09/12,Man City,Arsenal,good,good,5,5,16.25,15.25,10.75,7.25,1.75,3.6,4.75,D
23/09/12,Newcastle,Norwich,average,average,7,9,11.0,11.75,5.5,6.0,1.8,3.6,4.5,H
23/09/12,Tottenham,QPR,good,average,7,10,16.75,11.25,9.0,6.5,1.44,4.33,7.5,H
29/09/12,Arsenal,Chelsea,good,good,4,1,14.2,13.8,6.6,7.6,2.1,3.4,3.5,A
29/09/12,Everton,Southampton,average,average,3,8,18.8,11.8,10.4,6.2,1.4,4.75,8,H
29/09/12,Fulham,Man City,good,good,5,5,14.8,15.8,11.2,10.6,4.33,3.6,1.83,A
29/09/12,Man United,Tottenham,good,good,3,6,15.0,17.0,8.2,10.0,1.57,4,6,A
29/09/12,Norwich,Liverpool,average,poor,10,11,11.0,15.8,5.4,8.0,4.75,3.75,1.73,A
29/09/12,Reading,Newcastle,poor,good,13,7,7.0,12.0,2.75,6.0,2.88,3.3,2.5,D
29/09/12,Stoke,Swansea,average,poor,10,8,9.2,12.8,4.8,8.2,1.91,3.4,4.2,H
29/09/12,Sunderland,Wigan,average,poor,10,10,4.25,11.8,2.75,6.0,2,3.4,3.8,H
30/09/12,Aston Villa,West Brom,average,good,10,5,11.0,11.6,6.6,7.0,2.4,3.3,3,D
1/10/2012,QPR,West Ham,poor,good,11,6,10.8,12.2,6.4,7.4,2.05,3.4,3.75,A
6/10/2012,Chelsea,Norwich,good,poor,1,9,13.17,10.83,7.17,5.67,1.22,6.5,12,H
6/10/2012,Man City,Sunderland,good,good,3,6,16.67,5.6,10.83,3.4,1.29,5.5,11,H
6/10/2012,Swansea,Reading,poor,poor,7,11,12.0,8.4,6.83,3.6,1.91,3.6,4,D
6/10/2012,West Brom,QPR,average,poor,5,12,12.0,11.17,7.0,6.83,1.83,3.75,4.2,H
6/10/2012,West Ham,Arsenal,good,average,6,7,13.0,14.17,7.83,6.33,4,3.6,1.91,A
6/10/2012,Wigan,Everton,poor,good,11,4,11.17,18.5,5.5,10.17,4.2,3.4,1.91,D
7/10/2012,Liverpool,Stoke,average,average,9,8,14.83,9.33,7.67,4.83,1.44,4.33,7.5,D
7/10/2012,Newcastle,Man United,good,good,6,4,11.33,15.0,5.5,8.17,4.2,3.75,1.83,A
7/10/2012,Southampton,Fulham,average,good,11,6,11.17,13.5,5.5,9.83,2.75,3.3,2.6,D
7/10/2012,Tottenham,Aston Villa,good,average,5,11,15.83,12.33,9.33,6.83,1.44,4.33,7.5,H
20/10/12,Fulham,Aston Villa,average,poor,6,11,13.57,11.71,9.14,6.57,1.8,3.6,4.5,H
20/10/12,Liverpool,Reading,average,average,10,13,15.0,8.33,7.29,4.0,1.33,5,10,H
20/10/12,Man United,Stoke,good,average,2,8,14.57,8.71,8.29,4.57,1.29,5.5,11,H
20/10/12,Norwich,Arsenal,poor,average,13,6,10.29,15.0,5.43,7.43,6,4.2,1.53,H
20/10/12,Swansea,Wigan,poor,poor,9,12,13.86,11.0,8.14,5.57,2.1,3.4,3.5,H
20/10/12,Tottenham,Chelsea,good,good,4,1,16.86,14.14,9.43,8.0,2.5,3.4,2.75,A
20/10/12,West Brom,Man City,good,good,4,3,12.14,18.0,7.14,11.57,5,3.75,1.7,A
20/10/12,West Ham,Southampton,average,average,6,12,12.14,11.43,7.14,5.57,1.83,3.75,4.2,H
21/10/12,QPR,Everton,poor,good,14,3,11.43,18.14,6.71,10.29,3.25,3.4,2.2,D
21/10/12,Sunderland,Newcastle,average,average,10,8,6.0,11.57,3.83,5.14,2.5,3.3,2.88,D
27/10/12,Arsenal,QPR,average,poor,6,14,14.75,11.75,7.38,6.63,1.36,5,8.5,H
27/10/12,Aston Villa,Norwich,poor,average,11,10,11.38,9.88,6.25,5.13,2,3.5,3.75,D
27/10/12,Man City,Swansea,good,average,2,6,18.38,14.38,11.75,8.5,1.22,6,15,H
27/10/12,Reading,Fulham,average,average,15,6,8.29,14.0,4.14,9.0,2.75,3.4,2.5,D
27/10/12,Stoke,Sunderland,average,average,9,9,8.63,7.43,4.75,4.14,1.95,3.3,4.2,D
27/10/12,Wigan,West Ham,poor,good,11,5,10.88,11.75,5.75,7.25,2.25,3.4,3.2,H
28/10/12,Chelsea,Man United,good,good,1,3,13.75,14.38,7.88,8.25,2.4,3.4,2.9,A
28/10/12,Everton,Liverpool,good,good,3,7,17.13,16.0,9.5,8.0,2.6,3.3,2.75,D
28/10/12,Newcastle,West Brom,average,average,7,5,11.38,12.63,5.38,7.25,2,3.5,3.75,H
28/10/12,Southampton,Tottenham,poor,good,13,5,11.38,17.63,5.38,10.25,4.2,3.75,1.83,A
3/11/2012,Fulham,Everton,good,average,6,4,14.22,17.11,8.89,9.33,2.75,3.4,2.5,D
3/11/2012,Man United,Arsenal,good,good,2,4,14.44,15.44,8.11,7.78,1.7,3.8,5,H
3/11/2012,Norwich,Stoke,average,average,12,10,10.33,8.89,5.22,4.89,2.6,3.3,2.75,H
3/11/2012,Sunderland,Aston Villa,average,poor,10,12,7.25,10.89,4.0,6.11,2.1,3.3,3.6,A
3/11/2012,Swansea,Chelsea,average,good,8,2,13.78,13.78,8.11,8.22,4.5,3.6,1.8,D
3/11/2012,Tottenham,Wigan,good,average,4,11,16.89,11.56,9.56,6.56,1.5,4.33,6.5,A
3/11/2012,West Ham,Man City,average,good,6,3,12.11,17.44,7.67,11.0,5,3.8,1.7,D
4/11/2012,Liverpool,Newcastle,good,average,10,7,15.56,11.22,7.67,5.44,1.57,4,6,D
4/11/2012,QPR,Reading,poor,average,12,11,10.89,9.13,6.22,4.75,1.8,3.6,4.5,D
5/11/2012,West Brom,Southampton,average,poor,6,12,12.11,11.33,6.89,5.44,1.73,3.75,4.75,H
10/11/2012,Arsenal,Fulham,average,good,5,5,14.6,13.6,7.3,8.5,1.53,4.2,6,D
10/11/2012,Aston Villa,Man United,average,good,11,1,10.7,14.1,6.1,8.0,7,4.5,1.44,A
10/11/2012,Everton,Sunderland,average,average,4,11,18.0,7.67,9.9,3.67,1.44,4.2,8,H
10/11/2012,Reading,Norwich,average,good,13,11,10.11,10.5,5.11,5.5,2.25,3.4,3.2,D
10/11/2012,Southampton,Swansea,poor,average,13,9,11.1,13.3,5.4,8.0,2.38,3.5,2.88,D
10/11/2012,Stoke,QPR,poor,average,11,14,8.8,12.1,4.7,6.8,1.91,3.4,4.2,H
10/11/2012,Wigan,West Brom,good,average,11,5,11.1,12.5,6.3,6.8,2.3,3.4,3.1,A
11/11/2012,Chelsea,Liverpool,average,good,2,11,13.5,16.0,8.1,8.1,1.95,3.5,4,D
11/11/2012,Man City,Tottenham,good,average,3,5,17.5,16.5,10.7,9.6,1.57,4,6,H
11/11/2012,Newcastle,West Ham,good,average,8,7,11.1,11.5,5.2,7.0,1.95,3.6,3.8,A
17/11/12,Arsenal,Tottenham,average,average,7,6,14.64,15.55,7.45,8.91,1.91,3.75,3.8,H
17/11/12,Liverpool,Wigan,average,good,11,12,15.36,11.36,7.82,6.27,1.44,4.33,7.5,H
17/11/12,Man City,Aston Villa,good,average,2,14,17.36,10.64,10.45,6.18,1.2,6.5,15,H
17/11/12,Newcastle,Swansea,average,average,10,11,11.36,12.55,5.55,7.55,1.91,3.6,4,A
17/11/12,Norwich,Man United,good,good,12,2,10.45,14.27,5.27,7.91,7,4.5,1.44,H
17/11/12,QPR,Southampton,poor,poor,16,15,12.55,11.09,6.91,5.36,1.91,3.6,4,A
17/11/12,Reading,Everton,average,good,15,4,9.8,17.82,4.9,9.91,4.33,3.6,1.83,H
17/11/12,West Brom,Chelsea,good,average,4,3,12.0,13.36,6.55,7.64,3.75,3.5,2,H
18/11/12,Fulham,Sunderland,average,poor,9,14,13.18,7.5,8.18,3.7,1.67,3.75,5.25,A
19/11/12,West Ham,Stoke,average,average,7,12,11.36,8.91,6.82,4.73,2,3.4,3.8,D
24/11/12,Aston Villa,Arsenal,average,average,14,6,10.58,14.5,6.33,7.67,4.75,3.75,1.73,D
24/11/12,Everton,Norwich,average,good,5,10,18.08,10.42,10.0,5.25,1.44,4.33,7.5,D
24/11/12,Man United,QPR,good,poor,2,18,14.08,12.58,8.0,6.92,1.17,7.5,15,H
24/11/12,Stoke,Fulham,average,average,12,9,9.17,13.58,4.83,8.58,2.2,3.3,3.4,H
24/11/12,Sunderland,West Brom,average,good,12,4,7.91,11.67,4.18,6.5,2.5,3.3,2.88,A
24/11/12,Wigan,Reading,average,good,13,15,11.17,10.0,6.0,4.82,1.83,3.6,4.33,H
25/11/12,Chelsea,Man City,average,good,4,2,13.83,17.67,8.0,10.25,2.5,3.5,2.7,D
25/11/12,Southampton,Newcastle,average,poor,15,11,11.92,12.67,6.17,5.92,2.3,3.5,3,H
25/11/12,Swansea,Liverpool,good,good,9,10,12.75,15.92,7.67,8.08,3.4,3.5,2.1,D
25/11/12,Tottenham,West Ham,poor,good,8,7,14.75,11.75,8.5,7.17,1.67,3.75,5.5,H
27/11/12,Aston Villa,Reading,poor,average,14,15,10.54,10.5,6.46,5.25,1.95,3.4,4,H
27/11/12,Sunderland,QPR,average,poor,13,16,8.83,12.38,4.83,6.85,2.25,3.25,3.3,D
28/11/12,Chelsea,Fulham,average,poor,4,9,13.15,13.15,7.46,8.31,1.44,4.5,7,D
28/11/12,Everton,Arsenal,average,good,4,5,17.77,14.38,9.92,7.54,2.5,3.4,2.75,D
28/11/12,Man United,West Ham,good,average,1,7,14.15,11.62,8.15,7.08,1.22,6.5,12,H
28/11/12,Southampton,Norwich,good,good,13,10,12.31,10.23,6.46,5.15,2,3.4,3.8,D
