Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA,HS,AS,HST,AST
18/08/12,Arsenal,Sunderland,D,1.4,4.5,8.5,,,,,14,3,4,2
18/08/12,Fulham,Norwich,H,1.8,3.6,4.5,,,,,11,4,9,2
18/08/12,Newcastle,Tottenham,H,2.5,3.4,2.75,,,,,6,12,4,6
18/08/12,QPR,Swansea,A,2,3.4,3.8,,,,,20,12,11,8
18/08/12,Reading,Stoke,D,2.38,3.25,3.1,,,,,9,6,3,3
18/08/12,West Brom,Liverpool,H,4.2,3.5,1.91,,,,,15,14,10,7
18/08/12,West Ham,Aston Villa,H,2.2,3.3,3.4,,,,,8,10,4,6
19/08/12,Man City,Southampton,H,1.17,7,17,,,,,20,9,15,6
19/08/12,Wigan,Chelsea,A,6,3.75,1.62,,,,,12,5,4,3
20/08/12,Everton,Man United,H,4.33,3.6,1.83,,,,,16,12,7,7
22/08/12,Chelsea,Reading,H,1.25,5.5,13,,,,,23,7,11,5
25/08/12,Aston Villa,Everton,A,2.9,3.4,2.4,,,,,7,19,3,11
25/08/12,Chelsea,Newcastle,H,1.5,4.33,6.5,,,,,11,11,6,5
25/08/12,Man United,Fulham,H,1.29,5.5,11,,,,,20,14,11,11
25/08/12,Norwich,QPR,D,2.25,3.4,3.2,,,,,13,6,4,4
25/08/12,Southampton,Wigan,A,2.1,3.4,3.5,,,,,14,12,9,8
25/08/12,Swansea,West Ham,H,2.1,3.3,3.6,,,,,10,7,7,6
25/08/12,Tottenham,West Brom,D,1.5,4.33,6.5,,,,,18,10,10,5
26/08/12,Liverpool,Man City,D,3.1,3.4,2.3,,,,,15,11,8,5
26/08/12,Stoke,Arsenal,D,3.5,3.4,2.1,,,,,7,16,4,6
1/9/2012,Man City,QPR,H,1.18,7,15,,,,,19,9,12,5
1/9/2012,Swansea,Sunderland,D,2.2,3.3,3.4,,,,,14,4,10,3
1/9/2012,Tottenham,Norwich,D,1.36,5,8.5,,,,,15,10,9,4
1/9/2012,West Brom,Everton,H,3,3.3,2.38,,,,,14,12,8,5
1/9/2012,West Ham,Fulham,H,2.5,3.25,2.88,,,,,17,14,12,13
1/9/2012,Wigan,Stoke,D,2.25,3.25,3.3,,,,,9,16,5,8
2/9/2012,Liverpool,Arsenal,A,2,3.5,3.75,,,,,17,11,8,7
