Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR,PosDiff,ShotsDiff,TargetShotsDiff
26/09/09,Birmingham,Bolton,average,average,6,8,9.83,12.8,6.17,5.8,D,1,2.2,3.25,3.4,A,-2,-2.97,0.37
26/09/09,Blackburn,Aston Villa,average,good,8,3,14.8,9.2,7.4,4.6,A,-9,3.1,3.25,2.38,H,5,5.6,2.8
26/09/09,Fulham,Arsenal,average,average,7,4,7.2,17,3.2,9.6,A,-12,6.5,4,1.53,A,3,-9.8,-6.4
26/09/09,Liverpool,Hull,good,poor,3,8,19.5,9.17,12.17,5.83,H,15,1.14,7.5,23,H,-5,10.33,6.34
26/09/09,Portsmouth,Everton,poor,good,9,7,13.83,15,6.83,9.4,A,-6,4.2,3.4,1.91,A,2,-1.17,-2.57
26/09/09,Stoke,Man United,average,good,5,2,9.67,18,4.33,11.17,A,-11,8.5,4.5,1.4,A,3,-8.33,-6.84
26/09/09,Tottenham,Burnley,average,average,3,4,15.33,7.33,9.67,2.83,H,7,1.33,5,10,H,-1,8,6.84
26/09/09,Wigan,Chelsea,average,good,7,1,13.33,21.33,6.17,11.17,A,-20,10,5,1.33,H,6,-8,-5
27/09/09,Sunderland,Wolves,average,average,4,6,9.33,13.83,6,7,D,3,1.73,3.6,5,H,-2,-4.5,-1
28/09/09,Man City,West Ham,good,poor,3,8,11.2,12.8,7.2,7.2,H,6,1.44,4.33,7.5,H,-5,-1.6,0
3/10/2009,Bolton,Tottenham,good,average,6,2,12.33,15.71,5.5,10,A,-7,3.8,3.6,1.95,D,4,-3.38,-4.5
3/10/2009,Burnley,Birmingham,average,average,5,7,7.71,10.14,3.43,6.14,A,-7,2.3,3.25,3.2,H,-2,-2.43,-2.71
3/10/2009,Hull,Wigan,poor,good,9,5,8.86,13.57,5.43,6.57,A,-4,2.88,3.3,2.5,H,4,-4.71,-1.14
3/10/2009,Man United,Sunderland,good,good,1,4,17.29,9.43,10.57,6.29,H,8,1.2,6.5,15,D,-3,7.86,4.28
3/10/2009,Wolves,Portsmouth,average,poor,9,12,14,14.14,7.57,7.57,H,5,2,3.4,3.8,A,-3,-0.14,0
4/10/2009,Arsenal,Blackburn,good,good,6,9,16.5,14.83,8.67,7.33,H,13,1.2,6.5,15,H,-3,1.67,1.34
4/10/2009,Chelsea,Liverpool,good,good,2,4,20.29,19.86,10.71,12.43,A,-4,2.1,3.3,3.6,H,-2,0.43,-1.72
4/10/2009,Everton,Stoke,good,poor,7,8,14.5,8.57,9.17,3.86,H,4,1.57,4,6,D,-1,5.93,5.31
4/10/2009,West Ham,Fulham,poor,average,12,11,12.67,9,7.33,4.67,D,1,2.2,3.25,3.4,D,1,3.67,2.66
5/10/2009,Aston Villa,Man City,good,good,6,4,9.33,12.67,4.67,8,D,-3,2.75,3.25,2.63,D,2,-3.34,-3.33
17/10/09,Arsenal,Birmingham,good,average,4,10,17.57,10.13,10,6.13,H,12,1.17,7,19,H,-6,7.44,3.87
17/10/09,Aston Villa,Chelsea,average,good,6,1,9.71,19.25,4.86,10.38,D,-3,4.5,3.6,1.8,H,5,-9.54,-5.52
17/10/09,Everton,Wolves,good,average,8,11,15.86,13.63,10.29,7.25,H,9,1.44,4.2,6.5,D,-3,2.23,3.04
17/10/09,Man United,Bolton,good,good,2,10,17.25,12.29,10.38,6,H,11,1.2,5.5,13,H,-8,4.96,4.38
17/10/09,Portsmouth,Tottenham,average,average,13,4,13.88,15.88,7.63,9.88,A,-9,4.5,3.5,1.83,A,9,-2,-2.25
17/10/09,Stoke,West Ham,average,poor,10,13,8.5,13.71,4.13,7.71,D,3,2.1,3.3,3.6,H,-3,-5.21,-3.58
17/10/09,Sunderland,Liverpool,average,good,7,6,8.75,18.88,5.88,11.25,D,-3,4.2,3.4,1.91,H,1,-10.13,-5.37
18/10/09,Blackburn,Burnley,average,good,11,7,13.71,8.63,7.29,4.63,D,3,1.73,3.6,5,H,4,5.08,2.66
18/10/09,Wigan,Man City,average,average,10,5,13.5,12.14,6.38,7.86,A,-13,5,3.6,1.73,D,5,1.36,-1.48
19/10/09,Fulham,Hull,poor,average,12,12,9.14,9.13,4.86,5.5,D,2,1.67,3.6,5.5,H,0,0.01,-0.64
24/10/09,Birmingham,Sunderland,poor,good,12,6,9.33,9.22,5.67,6,A,-9,2.9,3.25,2.5,H,6,0.11,-0.33
24/10/09,Burnley,Wigan,average,average,8,10,8.67,13.44,4.67,6.44,A,-7,2.5,3.3,2.88,A,-2,-4.77,-1.77
24/10/09,Chelsea,Blackburn,average,good,2,11,19.44,13.5,10.67,7.13,H,9,1.2,6.5,15,H,-9,5.94,3.54
24/10/09,Hull,Portsmouth,average,average,13,15,8.67,14.89,5.11,8.22,A,-5,2.6,3.2,2.8,D,-2,-6.22,-3.11
24/10/09,Tottenham,Stoke,good,average,3,9,15.11,8.78,9.22,4.11,D,3,1.44,4.33,7.5,A,-6,6.33,5.11
24/10/09,Wolves,Aston Villa,poor,average,12,6,13.44,9.38,7.11,4.88,A,-10,3.5,3.2,2.2,D,6,4.06,2.23
25/10/09,Bolton,Everton,average,good,13,10,12.63,15.5,6.13,9.63,A,-4,2.63,3.25,2.75,H,3,-2.87,-3.5
25/10/09,Liverpool,Man United,average,good,7,2,18.44,16.78,10.67,10,D,1,3,3.25,2.4,H,5,1.66,0.67
25/10/09,Man City,Fulham,good,average,5,11,11.25,10.13,7.38,5.63,H,5,1.44,4.2,8,D,-6,1.12,1.75
25/10/09,West Ham,Arsenal,poor,good,14,4,13.5,17.88,8.13,10.25,A,-13,7,4.2,1.5,D,10,-4.38,-2.12
31/10/09,Arsenal,Tottenham,good,average,3,3,17.56,15.8,10.22,9.5,H,9,1.57,4,6,H,0,1.76,0.72
31/10/09,Bolton,Chelsea,average,good,10,1,12.56,20.1,6.33,11.1,A,-6,9,4.33,1.4,A,9,-7.54,-4.77
31/10/09,Burnley,Hull,average,average,9,13,9,8.5,5.1,4.9,D,1,1.91,3.4,4.2,H,-4,0.5,0.2
31/10/09,Everton,Aston Villa,average,good,9,5,15.67,9.67,9.89,5.22,D,-1,2.5,3.25,2.88,D,4,6,4.67
31/10/09,Fulham,Liverpool,good,average,9,4,10.22,17.7,5.56,10.2,A,-8,4.2,3.4,1.91,H,5,-7.48,-4.64
31/10/09,Man United,Blackburn,average,average,2,11,15.8,12.56,9.5,6.56,H,12,1.17,7,19,H,-9,3.24,2.94
31/10/09,Portsmouth,Wigan,average,average,16,9,14.2,13.4,7.6,6.6,A,-4,2.38,3.3,3,H,7,0.8,1
31/10/09,Stoke,Wolves,good,average,7,13,8.7,12.9,3.9,6.8,H,4,1.91,3.4,4.2,D,-6,-4.2,-2.9
31/10/09,Sunderland,West Ham,average,average,6,15,9.7,13.67,6,8.22,H,9,2,3.3,4,D,-9,-3.97,-2.22
1/11/2009,Birmingham,Man City,average,average,13,5,10.3,12.22,6.4,7.33,A,-6,4.33,3.6,1.83,D,8,-1.92,-0.93
4/11/2009,West Ham,Aston Villa,average,good,15,5,13.8,10,8.3,5.5,A,-6,2.75,3.3,2.63,H,10,3.8,2.8
7/11/2009,Aston Villa,Bolton,average,average,5,12,10.27,12.8,5.91,6.3,D,2,1.8,3.5,4.75,H,-7,-2.53,-0.39
7/11/2009,Blackburn,Portsmouth,average,average,14,16,11.5,14.82,6,7.91,A,-13,2.1,3.4,3.6,H,-2,-3.32,-1.91
7/11/2009,Man City,Burnley,average,average,5,9,12.4,9.18,7.2,5.09,H,4,1.33,4.75,11,D,-4,3.22,2.11
7/11/2009,Tottenham,Sunderland,average,average,6,8,15,10.36,9.09,6.09,D,-2,1.57,3.75,6.5,H,-2,4.64,3
7/11/2009,Wolves,Arsenal,average,good,13,3,12.73,17.6,6.82,10.4,A,-17,9,4.75,1.36,A,10,-4.87,-3.58
8/11/2009,Chelsea,Man United,good,good,1,2,20.73,16.18,11.64,9.64,H,7,2,3.25,4,H,-1,4.55,2
8/11/2009,Hull,Stoke,poor,good,14,8,8.45,8.82,5,4,A,-9,2.75,3.3,2.6,H,6,-0.37,1
8/11/2009,West Ham,Everton,good,average,13,11,13.82,15,8.18,9.3,A,-5,2.4,3.3,3,A,2,-1.18,-1.12
8/11/2009,Wigan,Fulham,average,good,11,10,12.91,10.2,6.27,5.6,A,-7,2.25,3.2,3.4,D,1,2.71,0.67
9/11/2009,Liverpool,Birmingham,average,average,6,12,16.64,10,9.55,6.18,H,5,1.36,4.5,10,D,-6,6.64,3.37
21/11/09,Birmingham,Fulham,good,good,12,9,9.58,9.91,5.83,5.36,A,-6,2.5,3.2,2.9,H,3,-0.33,0.47
21/11/09,Burnley,Aston Villa,average,average,8,4,8.92,11,5,6.5,A,-9,3.4,3.3,2.2,D,4,-2.08,-1.5
21/11/09,Chelsea,Wolves,good,average,1,12,20,12.33,11.42,6.75,H,16,1.17,7,19,H,-11,7.67,4.67
21/11/09,Hull,West Ham,average,average,11,12,9.08,14,5.25,8.08,A,-6,2.88,3.25,2.5,D,-1,-4.92,-2.83
21/11/09,Liverpool,Man City,average,average,5,4,17.5,12.45,9.92,7.27,D,0,1.91,3.4,4.2,D,1,5.05,2.65
21/11/09,Man United,Everton,average,average,2,8,16.58,14.45,9.67,9,D,1,1.4,4.5,9,H,-6,2.13,0.67
21/11/09,Sunderland,Arsenal,poor,good,7,3,10.67,17,6.08,10,A,-12,6,3.75,1.62,H,4,-6.33,-3.92
22/11/09,Bolton,Blackburn,average,average,13,11,12.82,11.36,6.55,6,D,0,2.25,3.2,3.4,A,2,1.46,0.55
22/11/09,Stoke,Portsmouth,average,average,8,14,8.67,14.33,4,7.5,D,-2,2.1,3.4,3.5,H,-6,-5.66,-3.5
22/11/09,Tottenham,Wigan,average,average,4,11,14.58,13.42,9,6.75,H,5,1.44,4.33,8,H,-7,1.16,2.25
25/11/09,Fulham,Blackburn,average,good,10,9,10.08,11.67,5.33,6.42,H,9,2.1,3.3,3.6,H,1,-1.59,-1.09
25/11/09,Hull,Everton,average,average,13,11,9.31,14.17,5.46,8.67,D,1,3.5,3.3,2.15,H,2,-4.86,-3.21
28/11/09,Aston Villa,Tottenham,average,good,4,3,10.92,15.62,6.46,9.54,D,-3,2.5,3.25,2.88,D,1,-4.7,-3.08
28/11/09,Blackburn,Stoke,good,average,11,8,11.31,8.69,6.15,3.92,A,-7,1.91,3.4,4.2,D,3,2.62,2.23
28/11/09,Fulham,Bolton,average,poor,8,12,9.92,13,5.23,6.67,H,16,1.91,3.5,4.2,D,-4,-3.08,-1.44
28/11/09,Man City,Hull,average,good,6,10,12.17,9.21,7.17,5.57,D,2,1.29,5.5,11,D,-4,2.96,1.6
28/11/09,Portsmouth,Man United,average,good,16,2,14.31,16.69,7.46,9.77,D,-2,10,4.5,1.36,A,14,-2.38,-2.31
28/11/09,West Ham,Burnley,average,good,14,9,14.15,9.08,8.23,5.08,D,-1,1.8,3.6,4.5,H,5,5.07,3.15
28/11/09,Wigan,Sunderland,poor,average,12,7,13.23,10.23,6.62,5.69,A,-10,2.4,3.4,2.9,H,5,3,0.93
29/11/09,Arsenal,Chelsea,good,good,4,1,16.33,20.23,9.42,11.62,A,-4,2.7,3.2,2.7,A,3,-3.9,-2.2
29/11/09,Everton,Liverpool,average,average,11,7,13.46,16.92,8.23,9.62,D,-1,3.5,3.4,2.1,A,4,-3.46,-1.39
29/11/09,Wolves,Birmingham,poor,good,14,11,11.69,9.08,6.46,5.54,A,-7,2.4,3.2,3.1,A,3,2.61,0.92
5/12/2009,Arsenal,Stoke,average,average,4,7,15.46,8.57,8.92,3.93,D,2,1.29,5,13,H,-3,6.89,4.99
5/12/2009,Aston Villa,Hull,good,good,5,11,11,9.13,6.29,5.4,D,3,1.44,4.33,7.5,H,-6,1.87,0.89
5/12/2009,Blackburn,Liverpool,average,good,10,5,11.29,16.36,6,9.43,A,-7,5.25,3.8,1.67,D,5,-5.07,-3.43
5/12/2009,Man City,Chelsea,average,good,6,1,12.54,19.29,7.15,11.14,A,-16,4.2,3.4,1.91,H,5,-6.75,-3.99
5/12/2009,Portsmouth,Burnley,poor,average,16,10,14.71,9.57,7.79,5.43,D,0,1.91,3.4,4.2,H,6,5.14,2.36
5/12/2009,West Ham,Man United,average,good,13,2,13.79,16.36,8,9.64,A,-4,8,4.2,1.44,A,11,-2.57,-1.64
5/12/2009,Wigan,Birmingham,average,good,10,9,13.43,9.36,6.86,5.64,A,-10,2.1,3.3,3.6,A,1,4.07,1.22
5/12/2009,Wolves,Bolton,poor,poor,16,15,11.43,12.31,6.14,6.31,D,2,2.38,3.25,3.1,H,1,-0.88,-0.17
6/12/2009,Everton,Tottenham,poor,good,13,4,13.36,16.14,8.21,10.07,A,-13,2.88,3.25,2.5,D,9,-2.78,-1.86
6/12/2009,Fulham,Sunderland,average,average,10,9,10.07,10.14,5.36,5.57,H,6,2.1,3.3,3.6,H,1,-0.07,-0.21
12/12/2009,Birmingham,West Ham,good,average,9,14,9.4,13.6,5.87,7.93,H,6,2.1,3.3,3.6,H,-5,-4.2,-2.06
12/12/2009,Bolton,Man City,poor,good,15,6,12.64,12.57,6.57,7.21,A,-11,4.5,3.6,1.8,D,9,0.07,-0.64
12/12/2009,Burnley,Fulham,poor,good,10,7,9.87,10.47,5.6,5.33,A,-9,2.63,3.25,2.75,D,3,-0.6,0.27
