Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
E0;15.08.2009;Aston Villa;Wigan;0;2;A;0;1;A;11;14;5;7;15;14;4;6;2;2;0;0;Oca.67;03.Haz;05.May;Oca.65;03.Nis;5;Oca.67;03.May;May.25;01.Tem;03.May;04.Eyl;Oca.67;03.Mar;04.May;Oca.65;03.Nis;5;01.Tem;03.Nis;05.May;Oca.67;03.Haz;05.May;01.Tem;03.Nis;5;Oca.62;03.May;05.May;37;Oca.72;Oca.66;Mar.77;Mar.51;06.May;May.33;32;02.Nis;Oca.92;Oca.91;Oca.81;21;0;Oca.28;Oca.22;04.Nis;Mar.99
E0;15.08.2009;Blackburn;Man City;0;2;A;0;1;A;17;8;9;5;12;9;5;4;2;1;0;0;03.Haz;Mar.25;02.Oca;03.Nis;Mar.15;2;03.Nis;Mar.25;02.Oca;03.Þub;03.Þub;02.Þub;3;03.Þub;02.Oca;Mar.15;Mar.25;02.Oca;03.May;03.Þub;Þub.15;03.Mar;Mar.25;02.Þub;Mar.25;03.Þub;02.Þub;03.Mar;03.Þub;02.Þub;38;Mar.78;Mar.37;Mar.35;Mar.24;Þub.25;02.Ara;33;Þub.15;02.Nis;Oca.78;Oca.71;24;0;Þub.58;Þub.38;01.Haz;Oca.54
E0;15.08.2009;Bolton;Sunderland;0;1;A;0;1;A;11;20;3;13;16;10;4;7;2;1;0;0;Þub.25;Mar.25;Mar.25;Þub.15;Mar.15;Mar.15;Þub.25;Mar.25;03.Oca;02.Þub;03.Þub;03.Þub;02.Oca;03.Þub;3;Þub.25;03.Þub;02.Eyl;02.Mar;03.Þub;03.Þub;02.Mar;Mar.25;03.Oca;Þub.25;03.Þub;03.Oca;02.Þub;03.Þub;03.Mar;38;Þub.37;Þub.24;Mar.31;03.Þub;03.Nis;Mar.15;33;Þub.25;02.Ara;01.Tem;Oca.66;23;0;Oca.68;Oca.61;Þub.33;Þub.23
E0;15.08.2009;Chelsea;Hull;2;1;H;1;1;D;26;7;12;3;13;15;12;4;1;2;0;0;Oca.17;06.May;21;Oca.17;6;13;01.Þub;6;15;01.Þub;05.May;14;Oca.17;05.May;12;Oca.17;May.75;15;Oca.17;06.May;21;Oca.18;06.May;17;Oca.17;6;17;01.Þub;05.May;19;38;01.Þub;Oca.17;Tem.71;Haz.26;23.14;16.39;34;Oca.67;Oca.58;Þub.44;Þub.26;22;0;01.Mar;01.Þub;17.May;Ara.96
E0;15.08.2009;Everton;Arsenal;1;6;A;0;3;A;8;15;5;9;11;13;4;9;0;0;0;0;03.Þub;Mar.25;02.Mar;Þub.95;Mar.15;Þub.25;3;Mar.25;02.Mar;03.Oca;03.Oca;02.Mar;Þub.88;3;Þub.25;3;03.Þub;02.Þub;03.Þub;03.Þub;02.Mar;Mar.25;Mar.25;Þub.25;02.Eyl;03.Mar;02.Mar;Mar.25;03.Þub;02.Þub;38;Mar.34;03.Tem;Mar.34;Mar.21;Þub.42;Þub.28;34;02.Þub;02.Haz;Oca.77;01.Tem;24;0;Þub.27;02.Þub;Oca.73;Oca.63
E0;15.08.2009;Portsmouth;Fulham;0;1;A;0;1;A;16;9;4;3;11;18;6;4;3;2;0;0;Þub.63;03.Þub;Þub.75;02.Mar;Mar.15;Þub.85;02.Haz;Mar.25;02.Haz;02.May;03.Þub;02.Tem;Þub.38;03.Þub;02.Haz;02.Nis;03.Þub;02.Tem;Þub.75;03.Þub;02.Haz;Þub.63;03.Þub;02.Tem;Þub.62;03.Þub;Þub.62;02.May;03.Þub;Þub.75;38;Þub.81;Þub.53;Mar.25;Mar.18;02.Eyl;Þub.73;33;Þub.28;02.Ara;01.Tem;Oca.65;23;0;Oca.98;Oca.83;02.May;Oca.95
E0;15.08.2009;Stoke;Burnley;2;0;H;2;0;H;12;9;5;5;15;10;3;6;2;2;0;0;Oca.91;03.Mar;Nis.33;Oca.85;03.Þub;4;01.Eyl;03.Mar;4;01.Eyl;03.Mar;03.Eyl;Oca.91;03.Þub;03.May;01.Eyl;Mar.25;Mar.75;2;03.Þub;4;Oca.91;Mar.25;Nis.33;01.Eyl;Mar.25;4;Oca.91;03.Mar;4;38;2;Oca.91;Mar.47;Mar.29;Nis.36;04.Þub;33;Þub.25;02.Oca;Oca.71;Oca.67;22;0;Oca.45;Oca.39;03.May;Þub.85
E0;15.08.2009;Wolves;West Ham;0;2;A;0;1;A;19;16;11;13;9;5;8;6;0;0;0;0;Þub.63;03.Mar;02.Tem;Þub.55;Mar.15;Þub.55;02.May;03.Þub;Þub.75;Þub.55;03.Mar;Þub.55;Þub.38;03.Þub;02.Haz;02.May;03.Þub;02.Haz;Þub.62;03.Þub;02.Tem;02.Haz;03.Þub;Þub.75;02.May;Mar.25;Þub.62;02.May;Mar.25;02.Tem;38;Þub.78;Þub.57;03.Mar;Mar.19;Þub.87;Þub.68;33;Þub.16;02.Mar;01.Aðu;Oca.72;22;0;Oca.95;Oca.85;2;Oca.92
E0;16.08.2009;Man United;Birmingham;1;0;H;1;0;H;26;6;17;4;13;7;13;2;1;1;0;0;01.Þub;6;17;01.Þub;05.May;12;01.Þub;6;15;01.Þub;05.Tem;12;Oca.17;05.May;12;Oca.18;05.May;13;01.Þub;05.May;19;01.Þub;6;17;Oca.17;6;17;01.Þub;05.May;19;38;Oca.23;Oca.19;Haz.62;May.91;21;14.99;33;Oca.69;Oca.62;Þub.35;Þub.18;20;0;01.Nis;01.Þub;15;Kas.42
E0;16.08.2009;Tottenham;Liverpool;2;1;H;1;0;H;17;6;11;3;14;16;6;5;3;3;0;0;03.Þub;Mar.25;02.Mar;Mar.25;Mar.15;02.Oca;03.Oca;03.Þub;Þub.25;03.Oca;03.Oca;02.Mar;3;03.Þub;02.Oca;3;03.Þub;02.Þub;03.Þub;03.Þub;02.Mar;3;Mar.25;02.Þub;3;Mar.25;Þub.25;03.Þub;03.Þub;02.Þub;36;Mar.31;Mar.13;03.Nis;Mar.22;Þub.39;Þub.23;31;02.Tem;Oca.95;Oca.85;Oca.79;21;0;Þub.38;Þub.24;Oca.73;Oca.61
