Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
15/08/09,Aston Villa,Wigan,average,average,1,1,0.0,0.0,0.0,0.0,D,0,1.67,3.6,5.5,A
15/08/09,Blackburn,Man City,average,average,2,2,0.0,0.0,0.0,0.0,D,0,3.6,3.25,2.1,A
15/08/09,Bolton,Sunderland,average,average,2,2,0.0,0.0,0.0,0.0,D,0,2.25,3.25,3.25,A
15/08/09,Chelsea,Hull,average,average,2,2,0.0,0.0,0.0,0.0,D,0,1.17,6.5,21,H
15/08/09,Everton,Arsenal,average,average,2,2,0.0,0.0,0.0,0.0,D,0,3.2,3.25,2.3,A
15/08/09,Portsmouth,Fulham,average,average,2,2,0.0,0.0,0.0,0.0,D,0,2.63,3.2,2.75,A
15/08/09,Stoke,Burnley,average,average,2,2,0.0,0.0,0.0,0.0,D,0,1.91,3.3,4.33,H
15/08/09,Wolves,West Ham,average,average,2,2,0.0,0.0,0.0,0.0,D,0,2.63,3.3,2.7,A
16/08/09,Man United,Birmingham,average,average,2,2,0.0,0.0,0.0,0.0,D,0,1.2,6,17,H
16/08/09,Tottenham,Liverpool,average,average,2,2,0.0,0.0,0.0,0.0,D,0,3.2,3.25,2.3,H
18/08/09,Sunderland,Chelsea,good,good,1,1,20.0,26.0,13.0,12.0,D,0,6.5,4,1.53,A
18/08/09,Wigan,Wolves,good,poor,2,3,14.0,19.0,7.0,11.0,H,4,1.73,3.6,5.25,A
19/08/09,Birmingham,Portsmouth,poor,poor,3,3,6.0,16.0,4.0,4.0,D,0,2,3.3,4,H
19/08/09,Burnley,Man United,poor,good,3,2,9.0,26.0,5.0,17.0,D,-3,9.5,5,1.33,H
19/08/09,Hull,Tottenham,poor,good,3,2,7.0,17.0,3.0,11.0,D,-2,3.75,3.5,2,A
19/08/09,Liverpool,Stoke,poor,good,3,2,6.0,12.0,3.0,5.0,D,-3,1.25,5.5,13,H
22/08/09,Arsenal,Portsmouth,good,poor,2,3,15.0,12.5,9.0,4.0,H,7,1.17,7,19,H
22/08/09,Birmingham,Stoke,average,average,2,2,7.5,9.0,4.5,4.0,D,2,2.3,3.2,3.25,D
22/08/09,Hull,Bolton,poor,poor,4,4,8.0,11.0,5.0,3.0,A,-4,2.6,3.25,2.8,H
22/08/09,Man City,Wolves,good,average,3,3,8.0,14.0,5.0,7.0,D,3,1.33,4.5,12,H
22/08/09,Sunderland,Blackburn,average,poor,3,4,12.0,17.0,8.0,9.0,D,1,2.1,3.25,3.75,H
22/08/09,Wigan,Man United,average,average,3,3,16.0,22.0,6.0,13.0,D,1,6.5,4,1.53,A
23/08/09,Burnley,Everton,average,poor,3,4,8.5,8.0,3.5,5.0,H,4,3.4,3.3,2.2,H
23/08/09,Fulham,Chelsea,good,good,3,1,9.0,23.0,3.0,10.5,D,-2,6.5,3.8,1.57,A
23/08/09,West Ham,Tottenham,good,good,4,2,16.0,17.5,13.0,11.5,D,-3,3.1,3.25,2.38,A
24/08/09,Liverpool,Aston Villa,average,poor,4,5,12.0,11.0,8.0,5.0,H,5,1.44,4.2,8,A
29/08/09,Blackburn,West Ham,poor,average,5,4,17.5,16.5,7.0,10.5,A,-4,2.2,3.3,3.5,D
29/08/09,Bolton,Liverpool,poor,average,6,4,15.5,15.0,6.5,9.33,D,-3,7,4,1.53,A
29/08/09,Chelsea,Burnley,good,good,1,2,19.33,8.33,8.33,3.67,H,5,1.14,8,21,H
