inst,actual,predicted,error,p,probability,oddsH,oddsD,oddsA
1,2:H,3:D,0.01,0.032,0.042,2,3.3,4
2,1:A,3:D,0.003,0.115,0.118,2,3.4,3.8
3,1:A,2:H,0,0.999,0.999,1.44,4.33,7.5
4,1:A,1:A,0.745,0.01,0.755,5,3.6,1.73
5,2:H,2:H,0,0.942,0.942,1.36,4.75,9
6,3:D,3:D,0.015,0.013,0.028,2.2,3.2,3.5
7,2:H,2:H,0.245,0.397,0.642,2,3.4,4
8,2:H,2:H,0,1,1,1.14,7.5,21
9,1:A,3:D,0.002,0.331,0.333,1.8,3.5,4.5
10,1:A,1:A,0.997,0,0.997,10,5,1.33
11,2:H,2:H,0,0.974,0.974,1.36,4.5,10
12,2:H,3:D,0.413,0,0.413,6.5,3.8,1.57
13,1:A,3:D,0.38,0.041,0.421,2.38,3.25,3.1
14,2:H,3:D,0.033,0.069,0.102,2.1,3.25,3.75
15,3:D,3:D,0.038,0.012,0.05,2.5,3.3,2.88
16,3:D,3:D,0.137,0.057,0.194,3,3.25,2.4
17,2:H,3:D,0.012,0.044,0.056,2.1,3.3,3.6
18,1:A,3:D,0.004,0.028,0.032,2.25,3.3,3.3
19,2:H,2:H,0,1,1,1.22,6,15
20,1:A,1:A,0.942,0,0.942,7.5,4.5,1.4
21,3:D,1:A,0.511,0.024,0.535,3.3,3.25,2.25
22,2:H,2:H,0,0.991,0.991,1.44,4.33,7.5
23,2:H,2:H,0,1,1,1.22,6,15
24,3:D,3:D,0.164,0.01,0.174,3.6,3.4,2.1
25,2:H,2:H,0,1,1,1.25,5.5,13
26,1:A,3:D,0.198,0.002,0.2,3.6,3.3,2.1
27,2:H,2:H,0,1,1,1.25,5.75,13
28,3:D,2:H,0,0.899,0.899,1.4,4.33,9
29,2:H,3:D,0,0.48,0.48,1.53,3.8,7
30,2:H,3:D,0.007,0.16,0.167,2.2,3.2,3.5
31,1:A,1:A,0.694,0.006,0.7,3.6,3.3,2.1
32,2:H,3:D,0.114,0.176,0.29,2.2,3.2,3.5
33,2:H,3:D,0.001,0.228,0.229,1.73,3.6,5
34,3:D,1:A,0.987,0,0.987,7.5,4.33,1.44
35,1:A,3:D,0.178,0.057,0.235,3.1,3.25,2.38
36,2:H,2:H,0.003,0.985,0.988,1.67,3.75,5.5
37,1:A,3:D,0.004,0.058,0.062,1.8,3.6,4.5
38,3:D,2:H,0.001,0.52,0.521,1.53,3.8,7
39,2:H,3:D,0.048,0.158,0.206,2,3.25,4
40,1:A,3:D,0.03,0.253,0.283,1.83,3.5,4.33
41,1:A,1:A,1,0,1,12,5,1.3
42,3:D,1:A,0.786,0,0.786,7,4.2,1.5
43,1:A,1:A,0.988,0,0.988,8.5,4.5,1.4
44,2:H,2:H,0,0.999,0.999,1.4,4.75,8
45,2:H,3:D,0.039,0.014,0.053,2.4,3.25,3
46,2:H,2:H,0,1,1,1.2,6,17
