num;Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
2;E0;14.08.2010;Aston Villa;West Ham;3;0;H;2;0;H;23;12;11;2;15;15;16;7;1;2;0;0;2;03.Mar;4;Oca.85;03.Nis;04.Oca;2;Mar.25;Mar.75;01.Aðu;03.Nis;4;Oca.83;03.Nis;Nis.33;01.Eyl;Mar.25;Mar.75;Oca.91;Mar.25;Nis.33;2;03.Nis;Mar.75;2;Mar.25;04.Þub;01.Aðu;03.Nis;Nis.33;39;02.Eyl;Oca.96;03.Nis;03.Mar;Nis.33;04.Mar;35;02.Kas;02.Oca;Oca.82;Oca.75;20;0;Oca.45;01.Nis;3;Þub.78
2;E0;14.08.2010;Blackburn;Everton;1;0;H;1;0;H;7;17;2;12;19;14;1;3;2;1;0;0;Þub.88;Mar.25;02.May;Þub.75;Mar.25;Þub.45;02.Eyl;03.Þub;02.Nis;Þub.55;03.Þub;02.May;02.Aðu;03.Mar;02.May;02.Tem;03.Þub;02.Nis;Þub.88;03.Þub;02.May;Þub.75;03.Mar;02.May;03.Oca;03.Mar;Þub.38;02.Tem;Mar.25;02.May;39;Mar.15;Þub.92;03.Nis;Mar.25;Þub.55;Þub.44;36;02.Þub;02.Aðu;Oca.79;01.Tem;29;0;02.Þub;02.May;Oca.85;Oca.75
2;E0;14.08.2010;Bolton;Fulham;0;0;D;0;0;D;13;12;9;7;12;13;4;8;1;3;0;0;02.Þub;03.Mar;03.Nis;Þub.15;Mar.25;Mar.25;02.Þub;Mar.25;03.Þub;02.Þub;03.Þub;3;Þub.25;03.Mar;03.Þub;02.Oca;03.Þub;03.Þub;Þub.15;03.Þub;03.May;02.Mar;03.Nis;3;02.Þub;03.Mar;03.Nis;02.Þub;03.Þub;Mar.25;38;02.Mar;02.Þub;Mar.42;Mar.26;Mar.58;Mar.32;35;Þub.22;02.Eyl;Oca.75;Oca.69;24;0;01.Haz;Oca.55;Þub.56;Þub.36
2;E0;14.08.2010;Chelsea;West Brom;6;0;H;2;0;H;18;10;13;4;10;10;3;1;1;0;0;0;Oca.17;7;17;Oca.15;Haz.75;16;Oca.16;Haz.75;16;Oca.15;06.Þub;14;Oca.14;07.May;19;01.Ara;06.May;17;Oca.17;06.May;19;Oca.18;06.May;15;Oca.17;07.May;19;Oca.17;06.May;15;39;Oca.19;Oca.16;Tem.71;06.Eyl;21;17.47;29;Oca.53;Oca.49;Þub.61;Þub.49;19;-2;02.Haz;02.Oca;Oca.91;Oca.85
2;E0;14.08.2010;Sunderland;Birmingham;2;2;D;1;0;H;6;13;2;7;13;10;3;6;3;3;1;0;02.Oca;03.Mar;03.Haz;Þub.15;03.Þub;03.Mar;Þub.15;Mar.25;03.Mar;02.Oca;03.Þub;03.Þub;02.Oca;03.Mar;03.May;02.Þub;03.Þub;3;Þub.15;03.Þub;03.May;02.Þub;03.Nis;03.Þub;02.Þub;Mar.25;03.May;02.Oca;Mar.25;03.Nis;38;Þub.31;Þub.18;03.Nis;Mar.25;03.Haz;Mar.39;36;Þub.28;Þub.16;Oca.71;Oca.65;24;0;Oca.64;Oca.55;02.May;Þub.38
2;E0;14.08.2010;Tottenham;Man City;0;0;D;0;0;D;22;11;18;7;13;16;10;3;0;2;0;0;02.Nis;03.Mar;3;Þub.35;03.Mar;Þub.85;Þub.35;03.Mar;Þub.85;02.Nis;03.Þub;02.Tem;02.Mar;03.Mar;3;02.Mar;03.Þub;02.Aðu;Þub.38;Mar.25;3;Þub.38;03.Nis;Þub.88;02.Mar;03.Nis;03.Oca;Þub.38;03.Mar;Þub.88;38;02.May;Þub.39;Mar.41;Mar.28;03.Ara;Þub.95;37;02.Mar;Oca.91;Oca.95;Oca.84;28;0;Oca.75;Oca.69;Þub.28;02.Ara
2;E0;14.08.2010;Wigan;Blackpool;0;4;A;0;3;A;11;9;6;7;8;11;6;4;1;1;0;0;Oca.83;03.May;04.May;Oca.78;03.Nis;04.May;01.Aðu;03.Nis;Nis.33;01.Eyl;03.Mar;03.Tem;01.Aðu;03.May;04.May;01.Aðu;Mar.25;04.Þub;Oca.75;03.Nis;5;Oca.83;03.May;Nis.33;Oca.83;03.Nis;Nis.75;01.Aðu;03.Nis;04.May;40;01.Eyl;Oca.82;Mar.64;Mar.45;5;04.May;36;Þub.21;02.Kas;Oca.75;Oca.68;20;0;01.Nis;Oca.32;Mar.75;Mar.19
2;E0;14.08.2010;Wolves;Stoke;2;1;H;2;0;H;13;10;7;6;17;13;5;5;0;2;0;0;02.Mar;Mar.25;03.Þub;Þub.25;Mar.15;03.Oca;02.Mar;Mar.25;3;02.Mar;03.Þub;02.Aðu;Þub.25;03.Mar;03.Þub;Þub.25;03.Þub;02.Eyl;02.Mar;03.Þub;03.Þub;Þub.38;Mar.25;3;02.Mar;Mar.25;03.Mar;02.Mar;Mar.25;3;39;02.Nis;Þub.33;03.Mar;Mar.22;Mar.38;03.Kas;35;Þub.43;Þub.25;Oca.65;01.Haz;25;0;01.Tem;Oca.63;02.Nis;02.Þub
2;E0;15.08.2010;Liverpool;Arsenal;1;1;D;0;0;D;7;14;4;7;13;15;9;11;1;3;1;1;02.May;Mar.25;Þub.88;Þub.45;Mar.25;Þub.75;02.May;Mar.25;Þub.75;02.Nis;03.Þub;02.Tem;02.Nis;03.Mar;Þub.88;02.Nis;Mar.15;02.Tem;02.May;03.Þub;Þub.88;02.May;Mar.25;02.Aðu;02.May;03.Þub;3;Þub.38;Mar.25;Þub.88;39;02.Haz;Þub.47;Mar.35;Mar.24;03.Tem;Þub.89;35;Þub.35;Þub.21;01.Tem;Oca.62;31;0;Oca.83;Oca.74;Þub.15;02.Haz
2;E0;16.08.2010;Man United;Newcastle;3;0;H;2;0;H;18;7;10;3;9;5;5;3;2;2;0;0;Oca.25;05.May;15;Oca.22;05.May;12.May;Oca.23;05.May;12;Oca.22;05.Mar;11;Oca.25;05.May;12;01.Þub;05.May;12;Oca.22;6;13;Oca.22;6;12;Oca.22;6;15;Oca.22;05.May;13;40;Oca.26;Oca.23;Haz.19;May.63;16;13.Kas;37;01.Aðu;Oca.72;Þub.16;02.May;19;0;01.May;01.Mar;12;10.Þub
