inst,actual,predicted,probability,oddsH,oddsD,oddsA
1,H,D,0.765,2.05,3.5,4
2,H,D,0.647,1.95,3.6,4.33
3,H,A,0.496,2.2,3.5,3.2
4,A,A,0.073,3.6,3.5,2.15
5,H,H,0.999,1.4,5,9
6,H,H,1,1.38,5,10
7,H,H,1,1.33,5.5,11
8,A,D,0.933,1.85,3.8,4.5
9,A,D,0.929,2.15,3.25,4
10,D,D,0.708,2.4,3.3,3.3
11,H,D,0.895,2.1,3.6,3.75
12,A,A,0.163,4.5,3.75,1.85
13,H,D,0.704,2.3,3.6,3.25
14,A,A,0.002,7.5,4.5,1.44
15,D,D,0.754,2.5,3.4,3
16,H,D,0.719,2.25,3.4,3.5
17,A,D,0.899,2.45,3.4,3.1
18,H,A,0.36,2.45,3.3,3.2
19,H,A,0.473,1.95,3.8,4
20,H,H,0.973,1.83,3.7,4.8
21,H,D,0.753,2.3,3.4,3.4
22,H,A,0.445,3.9,3.6,2.05
23,H,H,1,1.17,9,19
24,H,A,0.237,4.2,3.8,1.91
25,D,D,0.714,2.5,3.3,3.1
26,A,A,0.376,3.4,3.5,2.25
27,H,H,1,1.4,5,9
28,D,D,0.896,2.05,3.5,4
29,A,H,0.999,1.5,4.5,7.5
30,H,D,0.565,2.3,3.4,3.4
31,H,H,1,1.25,6.5,15
32,H,H,1,1.57,3.9,7.5
33,H,H,1,1.33,5.5,11
34,H,A,0.128,3.5,3.5,2.2
35,A,A,0.004,6,4,1.65
36,A,A,0.202,3.4,3.4,2.3
37,H,A,0.457,2.3,3.4,3.4
38,H,D,0.856,1.95,3.6,4.33
39,A,A,0.094,5,4,1.75
40,H,H,0.887,2,3.6,4
41,D,D,0.682,2.63,3.3,2.9
42,A,D,0.597,3.3,3.6,2.25
43,A,D,0.957,2.1,3.4,4
44,A,A,0.09,4.1,3.7,1.95
45,H,H,1,1.36,5,11
46,D,H,1,1.36,5.5,9
47,H,A,0.358,2.1,3.5,3.8
48,D,A,0.464,2.38,3.4,3.25
49,D,D,0.803,2.2,3.4,3.6
50,A,A,0.517,2.3,3.5,3.3
51,H,H,1,1.25,6.5,14
52,D,D,0.601,2.3,3.3,3.5
53,H,H,1,1.44,4.75,8
54,D,A,0.005,8,4.75,1.45
55,D,D,0.756,1.91,3.75,4.2
56,A,H,0.733,1.95,3.5,4.5
57,A,A,0.006,7,3.9,1.6
58,D,D,0.665,1.75,3.9,5
59,A,A,0.041,4.75,3.8,1.8
60,H,H,1,1.25,6.5,14
61,D,A,0.009,5.5,3.9,1.7
62,A,A,0.042,5,4,1.75
63,H,D,0.973,1.75,3.8,5.25
64,A,D,0.956,2.25,3.4,3.5
65,H,A,0.233,3.4,3.4,2.3
66,D,D,0.724,2.38,3.5,3.1
67,D,H,0.889,2.25,3.5,3.4
68,H,D,0.66,2.3,3.5,3.3
69,D,A,0.334,2.15,3.6,3.6
70,H,A,0.381,3.25,3.6,2.3
71,H,H,1,1.25,6.75,13
72,H,H,1,1.5,4.5,7.5
73,H,H,1,1.29,6,12
74,A,A,0.187,2.88,3.6,2.5
75,A,H,0.854,1.85,3.75,4.6
76,H,D,0.979,2.25,3.3,3.6
77,D,A,0.04,3.8,3.6,2.05
78,D,A,0.163,2.25,3.6,3.3
79,H,H,1,1.36,5.5,9
80,D,D,0.844,2.55,3.5,2.88
81,H,D,0.652,2.3,3.4,3.4
82,A,H,0.954,1.73,3.9,5.25
83,A,D,0.829,2.55,3.3,3
84,A,A,0.001,8,4.75,1.44
85,D,A,0.086,5.25,3.8,1.75
86,H,H,0.999,1.44,4.75,8
87,A,A,0.615,2.45,3.5,3
88,D,H,0.973,2.38,3.4,3.25
89,D,D,0.748,1.95,3.6,4.2
90,A,A,0.246,2.2,3.5,3.5
91,D,D,0.904,2.1,3.3,4
92,H,H,1,1.4,5,9
93,A,D,0.601,1.83,3.75,4.75
94,D,A,0.434,1.95,3.75,4
95,A,A,0.037,4.5,3.8,1.85
96,H,H,0.998,1.5,4.5,7.5
97,A,A,0.159,3.9,3.6,2.05
98,H,H,1,1.3,5.75,12
99,H,D,0.595,2.2,3.4,3.6
100,A,D,0.775,3.4,3.4,2.3
101,A,A,0.154,4.5,3.6,1.91
102,D,D,0.66,2.8,3.2,2.8
103,H,H,1,1.4,5.5,8
104,A,A,0.034,6,4.33,1.6
105,H,D,0.817,1.7,4,5.5
106,H,H,1,1.25,7,12
107,A,H,1,1.33,5.5,11
108,A,A,0.006,6,4.6,1.55
109,D,D,0.963,1.75,3.8,5.25
110,A,H,0.973,1.8,3.8,4.75
111,H,H,1,1.29,6,12
112,D,A,0.015,4.5,3.9,1.83
113,H,H,0.972,1.67,4,5.75
114,D,D,0.594,2.15,3.6,3.6
