bet,inst,actual,predicted,probability,oddsH,oddsD,oddsA
Make bet on home team!,1,D,H,0.989,1.4,4.5,8.5
Make bet on a draw!,2,H,D,0.303,1.8,3.6,4.5
Don't make bet!,3,H,D,0.023,2.5,3.4,2.75
Make bet on a draw!,4,A,D,0.163,2,3.4,3.8
Don't make bet!,5,D,A,0.068,2.38,3.25,3.1
Don't make bet!,6,H,A,0.024,4.2,3.5,1.91
Don't make bet!,7,H,D,0.047,2.2,3.3,3.4
Make bet on home team!,8,H,H,1,1.17,7,17
Don't make bet!,9,A,A,0,6,3.75,1.62
Don't make bet!,10,H,A,0.016,4.33,3.6,1.83
Make bet on home team!,11,H,H,1,1.25,5.5,13
Don't make bet!,12,A,D,0.023,2.9,3.4,2.4
Make bet on home team!,13,H,H,0.993,1.5,4.33,6.5
Make bet on home team!,14,H,H,1,1.29,5.5,11
Make bet on a draw!,15,D,D,0.176,2.25,3.4,3.2
Don't make bet!,16,A,D,0.048,2.1,3.4,3.5
Make bet on a draw!,17,H,D,0.11,2.1,3.3,3.6
Make bet on home team!,18,D,H,0.934,1.5,4.33,6.5
Don't make bet!,19,D,D,0.084,3.1,3.4,2.3
Don't make bet!,20,D,A,0.01,3.5,3.4,2.1
Make bet on home team!,21,H,H,1,1.18,7,15
Make bet on a draw!,22,D,D,0.13,2.2,3.3,3.4
Make bet on home team!,23,D,H,0.992,1.36,5,8.5
Don't make bet!,24,H,D,0.028,3,3.3,2.38
Don't make bet!,25,H,D,0.047,2.5,3.25,2.88
Make bet on a draw!,26,D,D,0.198,2.25,3.25,3.3
Make bet on a draw!,27,A,D,0.125,2,3.5,3.75
Make bet on a draw!,28,D,D,0.099,1.62,3.75,6
Don't make bet!,29,A,A,0,6,4.2,1.53
Make bet on home team!,30,H,H,0.993,1.36,5,8.5
Make bet on a draw!,31,H,D,0.142,2.38,3.25,3.1
Make bet on a draw!,32,H,D,0.149,2.1,3.4,3.5
Make bet on home team!,33,H,H,1,1.25,6,12
Don't make bet!,34,D,D,0.063,2.38,3.4,3
Don't make bet!,35,D,A,0.001,4.5,3.5,1.83
Don't make bet!,36,D,A,0.002,5,3.6,1.73
Don't make bet!,37,D,D,0.043,3.4,3.3,2.2
Don't make bet!,38,A,A,0.002,3.75,3.5,2
Make bet on home team!,39,D,H,0.522,1.73,3.6,5
Make bet on home team!,40,H,H,0.999,1.36,4.75,9
Don't make bet!,41,H,D,0.029,2.4,3.3,3
Don't make bet!,42,A,D,0.015,3,3.3,2.4
Make bet on away team!,43,H,A,0.275,1.73,3.75,4.75
Don't make bet!,44,D,D,0.092,2.1,3.3,3.6
Don't make bet!,45,A,D,0.048,2.4,3.3,3
Don't make bet!,46,A,A,0.051,2.7,3.3,2.63
Make bet on home team!,47,D,H,0.581,1.75,3.6,4.75
Make bet on a draw!,48,H,D,0.124,1.8,3.6,4.5
Make bet on home team!,49,H,H,0.992,1.44,4.33,7.5
Make bet on away team!,50,A,A,0.397,2.1,3.4,3.5
Make bet on home team!,51,H,H,0.828,1.4,4.75,8
Don't make bet!,52,A,D,0.02,4.33,3.6,1.83
Make bet on home team!,53,A,H,0.901,1.57,4,6
Don't make bet!,54,A,A,0.007,4.75,3.75,1.73
Don't make bet!,55,D,A,0.025,2.88,3.3,2.5
Make bet on a draw!,56,H,D,0.235,1.91,3.4,4.2
Make bet on a draw!,57,H,D,0.137,2,3.4,3.8
Don't make bet!,58,D,D,0.064,2.4,3.3,3
Don't make bet!,59,A,D,0.088,2.05,3.4,3.75
Make bet on home team!,60,H,H,1,1.22,6.5,12
Make bet on home team!,61,H,H,1,1.29,5.5,11
Make bet on a draw!,62,D,D,0.148,1.91,3.6,4
Make bet on a draw!,63,H,D,0.339,1.83,3.75,4.2
Don't make bet!,64,A,A,0.006,4,3.6,1.91
Don't make bet!,65,D,D,0.006,4.2,3.4,1.91
Make bet on home team!,66,D,H,0.884,1.44,4.33,7.5
Don't make bet!,67,A,A,0.004,4.2,3.75,1.83
Don't make bet!,68,D,D,0.021,2.75,3.3,2.6
Make bet on home team!,69,H,H,0.958,1.44,4.33,7.5
Make bet on a draw!,70,H,D,0.165,1.8,3.6,4.5
Make bet on home team!,71,H,H,0.989,1.33,5,10
Make bet on home team!,72,H,H,1,1.29,5.5,11
Don't make bet!,73,H,A,0,6,4.2,1.53
Don't make bet!,74,H,D,0.089,2.1,3.4,3.5
Make bet on away team!,75,A,A,0.401,2.5,3.4,2.75
Don't make bet!,76,A,A,0.003,5,3.75,1.7
Make bet on a draw!,77,H,D,0.077,1.83,3.75,4.2
Don't make bet!,78,D,D,0.014,3.25,3.4,2.2
Don't make bet!,79,D,D,0.102,2.5,3.3,2.88
Make bet on home team!,80,H,H,0.997,1.36,5,8.5
Make bet on a draw!,81,D,D,0.115,2,3.5,3.75
Make bet on home team!,82,H,H,1,1.22,6,15
Don't make bet!,83,D,D,0.035,2.75,3.4,2.5
Make bet on a draw!,84,D,D,0.189,1.95,3.3,4.2
Don't make bet!,85,H,D,0.069,2.25,3.4,3.2
Make bet on home team!,86,A,H,0.578,2.4,3.4,2.9
Make bet on a draw!,87,D,D,0.325,2.6,3.3,2.75
Make bet on a draw!,88,H,D,0.086,2,3.5,3.75
Don't make bet!,89,A,A,0.001,4.2,3.75,1.83
Make bet on a draw!,90,D,D,0.097,2.75,3.4,2.5
Make bet on home team!,91,H,H,0.87,1.7,3.8,5
Make bet on a draw!,92,H,D,0.11,2.6,3.3,2.75
Don't make bet!,93,A,D,0.067,2.1,3.3,3.6
Don't make bet!,94,D,A,0.002,4.5,3.6,1.8
Make bet on home team!,95,A,H,0.972,1.5,4.33,6.5
Don't make bet!,96,D,A,0.001,5,3.8,1.7
Make bet on home team!,97,D,H,0.661,1.57,4,6
Make bet on a draw!,98,D,D,0.13,1.8,3.6,4.5
Make bet on a draw!,99,H,D,0.166,1.73,3.75,4.75
Make bet on home team!,100,D,H,0.842,1.53,4.2,6
Don't make bet!,101,A,A,0,7,4.5,1.44
Make bet on home team!,102,H,H,0.775,1.44,4.2,8
Don't make bet!,103,D,D,0.041,2.25,3.4,3.2
Don't make bet!,104,D,D,0.063,2.38,3.5,2.88
Make bet on a draw!,105,H,D,0.332,1.91,3.4,4.2
Don't make bet!,106,A,D,0.086,2.3,3.4,3.1
Make bet on home team!,107,D,H,0.91,1.95,3.5,4
Make bet on home team!,108,H,H,0.74,1.57,4,6
Make bet on a draw!,109,A,D,0.175,1.95,3.6,3.8
Make bet on home team!,110,H,H,0.496,1.91,3.75,3.8
Make bet on home team!,111,H,H,0.807,1.44,4.33,7.5
Make bet on home team!,112,H,H,1,1.2,6.5,15
Make bet on a draw!,113,A,D,0.182,1.91,3.6,4
Don't make bet!,114,H,A,0,7,4.5,1.44
Make bet on a draw!,115,A,D,0.104,1.91,3.6,4
Don't make bet!,116,H,D,0.003,4.33,3.6,1.83
Don't make bet!,117,H,A,0.009,3.75,3.5,2
Make bet on a draw!,118,A,D,0.338,1.67,3.75,5.25
Make bet on a draw!,119,D,D,0.135,2,3.4,3.8
Don't make bet!,120,D,A,0.003,4.75,3.75,1.73
Make bet on home team!,121,D,H,0.771,1.44,4.33,7.5
Make bet on home team!,122,H,H,1,1.17,7.5,15
Don't make bet!,123,H,D,0.094,2.2,3.3,3.4
Don't make bet!,124,A,D,0.066,2.5,3.3,2.88
Make bet on a draw!,125,H,D,0.1,1.83,3.6,4.33
Make bet on home team!,126,D,H,0.633,2.5,3.5,2.7
Don't make bet!,127,H,D,0.044,2.3,3.5,3
Don't make bet!,128,D,D,0.036,3.4,3.5,2.1
Make bet on home team!,129,H,H,0.856,1.67,3.75,5.5
Make bet on a draw!,130,H,D,0.129,1.95,3.4,4
Make bet on a draw!,131,D,D,0.268,2.25,3.25,3.3
Make bet on home team!,132,D,H,0.983,1.44,4.5,7
Make bet on a draw!,133,D,D,0.099,2.5,3.4,2.75
Make bet on home team!,134,H,H,1,1.22,6.5,12
Don't make bet!,135,D,D,0.085,2,3.4,3.8
Make bet on a draw!,136,H,D,0.208,1.91,3.4,4.2
Don't make bet!,137,H,D,0.07,2.3,3.4,3.1
Make bet on home team!,138,H,H,0.708,2.4,3.4,2.88
Don't make bet!,139,A,A,0,6,4.2,1.53
Make bet on home team!,140,A,H,0.975,1.44,4.5,7
Don't make bet!,141,A,A,0.038,2.88,3.3,2.5
Make bet on home team!,142,H,H,0.835,1.4,4.5,8.5
Make bet on home team!,143,D,H,0.801,1.5,4,7
Don't make bet!,144,D,D,0.058,1.95,3.5,4
Don't make bet!,145,A,A,0,7.5,4.75,1.4
Make bet on a draw!,146,A,D,0.259,2.1,3.25,3.75
Don't make bet!,147,H,A,0.002,4,3.5,1.91
Make bet on a draw!,148,H,D,0.117,2.1,3.3,3.6
Make bet on a draw!,149,H,D,0.148,2,3.4,3.75
Make bet on home team!,150,H,H,0.929,1.5,4.33,6.5
Make bet on a draw!,151,D,D,0.236,2.4,3.2,3.1
Don't make bet!,152,H,D,0.06,1.91,3.6,4
Don't make bet!,153,A,A,0.002,4.75,3.5,1.8
Make bet on a draw!,154,A,D,0.123,1.8,3.6,4.5
Make bet on a draw!,155,D,D,0.186,2.3,3.4,3.1
Make bet on a draw!,156,H,D,0.124,2,3.5,3.75
Make bet on home team!,157,A,H,0.362,2.2,3.5,3.2
Don't make bet!,158,A,A,0.032,3,3.3,2.38
Make bet on a draw!,159,H,D,0.221,1.91,3.6,4
Make bet on a draw!,160,H,D,0.137,2,3.5,3.75
Make bet on home team!,161,A,H,0.912,1.36,4.75,9
Make bet on home team!,162,H,H,1,1.2,6.5,15
Don't make bet!,163,A,A,0.002,5.5,3.75,1.67
Make bet on a draw!,164,H,D,0.112,2.2,3.4,3.25
Don't make bet!,165,H,D,0.058,2.4,3.4,2.88
Don't make bet!,166,D,D,0.044,3.1,3.2,2.4
Make bet on home team!,167,H,H,0.931,1.62,4,5.5
Make bet on a draw!,168,D,D,0.147,2,3.5,3.75
Don't make bet!,169,A,A,0,5.5,4,1.62
Make bet on home team!,170,H,H,0.633,1.53,4,6.5
Make bet on home team!,171,H,H,1,1.14,8,19
Make bet on a draw!,172,H,D,0.249,2.1,3.4,3.5
Don't make bet!,173,A,D,0.065,2,3.5,3.75
Make bet on home team!,174,D,H,0.944,1.62,3.75,6
Make bet on a draw!,175,H,D,0.138,1.91,3.6,4
Don't make bet!,176,A,D,0.016,2.88,3.25,2.5
Don't make bet!,177,A,A,0.002,4.75,3.75,1.73
Make bet on home team!,178,H,H,0.999,1.33,5.5,8.5
Don't make bet!,179,D,A,0.001,5,4,1.67
Don't make bet!,180,A,A,0.012,3.75,3.5,2
Make bet on home team!,181,H,H,0.835,1.44,4.5,7
Make bet on a draw!,182,D,D,0.179,1.85,3.6,4.2
Make bet on home team!,183,H,H,1,1.22,6.5,13
Don't make bet!,184,A,A,0,6,3.75,1.62
Don't make bet!,185,A,D,0.071,2.2,3.4,3.25
Don't make bet!,186,D,D,0.052,2.9,3.4,2.38
Don't make bet!,187,H,A,0.042,3.4,3.2,2.25
Don't make bet!,188,H,A,0,6.5,4,1.53
Make bet on home team!,189,H,H,0.965,1.44,4.5,7
Make bet on a draw!,190,A,D,0.121,2.4,3.25,3
Make bet on a draw!,191,A,D,0.301,2.1,3.4,3.5
Make bet on home team!,192,H,H,1,1.3,5.5,10
Don't make bet!,193,A,A,0,6,4,1.57
Don't make bet!,194,H,D,0.047,2.88,3.25,2.5
Make bet on a draw!,195,D,D,0.216,1.8,3.5,4.75
Don't make bet!,196,A,A,0.018,3.5,3.4,2.1
Don't make bet!,197,A,A,0.088,2.88,3.3,2.5
Don't make bet!,198,A,A,0.018,4,3.5,1.91
Make bet on home team!,199,H,H,1,1.29,5.5,11
Don't make bet!,200,D,A,0.001,5,3.75,1.7
Make bet on a draw!,201,D,D,0.114,1.57,4,6
Make bet on home team!,202,H,H,0.999,1.33,5,10
Make bet on a draw!,203,A,D,0.151,2,3.5,3.75
Don't make bet!,204,H,D,0.09,2.1,3.4,3.5
Don't make bet!,205,A,A,0,6,4.2,1.53
Make bet on home team!,206,A,H,1,1.2,6.5,15
Make bet on home team!,207,H,H,0.925,1.4,4.5,8.5
