bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
Make bet on home team!,-28.0,1,D,H,0.989,1.4,4.5,8.5
Make bet on a draw!,-36.0,2,H,D,0.303,1.8,3.6,4.5
Don't make bet!,0,3,H,D,0.023,2.5,3.4,2.75
Make bet on a draw!,-40.0,4,A,D,0.163,2,3.4,3.8
Don't make bet!,0,5,D,A,0.068,2.38,3.25,3.1
Don't make bet!,0,6,H,A,0.024,4.2,3.5,1.91
Don't make bet!,0,7,H,D,0.047,2.2,3.3,3.4
Make bet on home team!,23.4,8,H,H,1,1.17,7,17
Don't make bet!,0,9,A,A,0,6,3.75,1.62
Don't make bet!,0,10,H,A,0.016,4.33,3.6,1.83
Make bet on home team!,25.0,11,H,H,1,1.25,5.5,13
Don't make bet!,0,12,A,D,0.023,2.9,3.4,2.4
Make bet on home team!,30.0,13,H,H,0.993,1.5,4.33,6.5
Make bet on home team!,25.8,14,H,H,1,1.29,5.5,11
Make bet on a draw!,45.0,15,D,D,0.176,2.25,3.4,3.2
Don't make bet!,0,16,A,D,0.048,2.1,3.4,3.5
Make bet on a draw!,-42.0,17,H,D,0.11,2.1,3.3,3.6
Make bet on home team!,-30.0,18,D,H,0.934,1.5,4.33,6.5
Don't make bet!,0,19,D,D,0.084,3.1,3.4,2.3
Don't make bet!,0,20,D,A,0.01,3.5,3.4,2.1
Make bet on home team!,23.6,21,H,H,1,1.18,7,15
Make bet on a draw!,44.0,22,D,D,0.13,2.2,3.3,3.4
Make bet on home team!,-27.2,23,D,H,0.992,1.36,5,8.5
Don't make bet!,0,24,H,D,0.028,3,3.3,2.38
Don't make bet!,0,25,H,D,0.047,2.5,3.25,2.88
Make bet on a draw!,45.0,26,D,D,0.198,2.25,3.25,3.3
Make bet on a draw!,-40.0,27,A,D,0.125,2,3.5,3.75
Make bet on a draw!,32.4,28,D,D,0.099,1.62,3.75,6
Don't make bet!,0,29,A,A,0,6,4.2,1.53
Make bet on home team!,27.2,30,H,H,0.993,1.36,5,8.5
Make bet on a draw!,-47.6,31,H,D,0.142,2.38,3.25,3.1
Make bet on a draw!,-42.0,32,H,D,0.149,2.1,3.4,3.5
Make bet on home team!,25.0,33,H,H,1,1.25,6,12
Don't make bet!,0,34,D,D,0.063,2.38,3.4,3
Don't make bet!,0,35,D,A,0.001,4.5,3.5,1.83
Don't make bet!,0,36,D,A,0.002,5,3.6,1.73
Don't make bet!,0,37,D,D,0.043,3.4,3.3,2.2
Don't make bet!,0,38,A,A,0.002,3.75,3.5,2
Make bet on home team!,-34.6,39,D,H,0.522,1.73,3.6,5
Make bet on home team!,27.2,40,H,H,0.999,1.36,4.75,9
Don't make bet!,0,41,H,D,0.029,2.4,3.3,3
Don't make bet!,0,42,A,D,0.015,3,3.3,2.4
Make bet on away team!,-34.6,43,H,A,0.275,1.73,3.75,4.75
